Mkt Fintech — Nifty 100  |  Companies  |  92 records,,,,,,,,,,
ticker,company_name,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,,year
LODHA,Macrotech Developers Ltd,https://www.lodhagroup.com/,https://www.nseindia.com/get-quotes/equity?symbol=LODHA,https://www.bseindia.com/stock-share-price/macrotech-developers-ltd/LODHA/543287/,10,183,11.1,10.7,,2021
LT,Larsen & Toubro Ltd,https://www.larsentoubro.com/,https://www.nseindia.com/get-quotes/equity?symbol=LT,https://www.bseindia.com/stock-share-price/larsen--toubro-ltd/lt/500510/,2,635,17.18,10.49,,2021
LTIM,LTIMindtree Ltd,https://www.ltimindtree.com/,https://www.nseindia.com/get-quotes/equity?symbol=LTIM,https://www.bseindia.com/stock-share-price/ltimindtree-ltd/ltim/540005/,1,711,34.1,26.04,,2021
M&M,"Mahindra & Mahindra Ltd
",https://auto.mahindra.com/,https://www.nseindia.com/get-quotes/equity?symbol=M&M,https://www.bseindia.com/stock-share-price/mahindra--mahindra-ltd/mm/500520/,5,567,26.98,17.99,,2021
MARUTI,Maruti Suzuki India Ltd,https://www.marutisuzuki.com/,https://www.nseindia.com/get-quotes/equity?symbol=MARUTI,https://www.bseindia.com/stock-share-price/maruti-suzuki-india-ltd/maruti/532500/,5,2835,23.67,15.75,,2021
MOTHERSON,Samvardhana Motherson International Ltd,http://www.motherson.com/,https://www.nseindia.com/get-quotes/equity?symbol=MOTHERSON,https://www.bseindia.com/stock-share-price/samvardhana-motherson-international-ltd/MOTHERSON/517334/,1,46,13.7,11.8,,2021
NAUKRI,Info Edge (India) Ltd,http://www.infoedge.in/,https://www.nseindia.com/get-quotes/equity?symbol=NAUKRI,https://www.bseindia.com/stock-share-price/info-edge-india-ltd/NAUKRI/532777/,10,3225,3.65,2.44,,2021
NESTLEIND,Nestle India Ltd,https://www.nestle.in/,https://www.nseindia.com/get-quotes/equity?symbol=NESTLEIND,https://www.bseindia.com/stock-share-price/nestle-india-ltd/nestleind/500790/,1,41,185.43,135.61,,2021
NHPC,"NHPC Ltd
",http://www.nhpcindia.com/,https://www.nseindia.com/get-quotes/equity?symbol=NHPC,https://www.bseindia.com/stock-share-price/nhpc-ltd/NHPC/533098/,10,40,7.67,9.61,,2021
NTPC,NTPC Ltd,https://ntpc.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=NTPC,https://www.bseindia.com/stock-share-price/ntpc-ltd/ntpc/532555/,10,174,10.58,12.52,,2021
ONGC,Oil & Natural Gas Corpn Ltd,https://www.ongcindia.com/,https://www.nseindia.com/get-quotes/equity?symbol=ONGC,https://www.bseindia.com/stock-share-price/oil-and-natural-gas-corporation-ltd/ongc/500312/,5,275,19.71,14.32,,2021
PFC,Power Finance Corporation Ltd,https://www.pfcindia.com/,https://www.nseindia.com/get-quotes/equity?symbol=PFC,https://www.bseindia.com/stock-share-price/power-finance-corporation-ltd/pfc/532810/,10,333,9.96,19.49,,2021
PIDILITIND,Pidilite Industries Ltd,http://www.pidilite.com/,https://www.nseindia.com/get-quotes/equity?symbol=PIDILITIND,https://www.bseindia.com/stock-share-price/pidilite-industries-ltd/PIDILITIND/500331/,1,171,29.7,22.8,,2021
PNB,Punjab National Bank,https://www.pnbindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=PNB,https://www.bseindia.com/stock-share-price/punjab-national-bank/pnb/532461/,2,110,1.63,8.7,,2021
POWERGRID,Power Grid Corporation of India Ltd,https://www.powergrid.in/,https://www.nseindia.com/get-quotes/equity?symbol=POWERGRID,https://www.bseindia.com/stock-share-price/power-grid-corporation-of-india-ltd/POWERGRID/532898/,10,99,13.2,19,,2021
RECLTD,REC Ltd,https://recindia.nic.in/,https://www.nseindia.com/get-quotes/equity?symbol=RECLTD,https://www.bseindia.com/stock-share-price/rec-ltd/RECLTD/532955/,10,279,10,22.2,,2021
RELIANCE,"Reliance Industries Ltd
",https://www.ril.com/,https://www.nseindia.com/get-quotes/equity?symbol=RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/RELIANCE/500325/,10,606,9.61,9.25,,2021
SBILIFE,SBI Life Insurance Company Ltd,https://www.sbilife.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=SBILIFE,https://www.bseindia.com/stock-share-price/sbi-life-insurance-company-ltd/SBILIFE/540719/,10,162,13.2,12,,2021
SBIN,State Bank of India,https://sbi.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=SBIN,https://www.bseindia.com/stock-share-price/state-bank-of-india/SBIN/500112/,1,465,6.16,17.3,,2021
SHREECEM,Shree Cement Ltd,https://www.shreecement.com/,https://www.nseindia.com/get-quotes/equity?symbol=SHREECEM,https://www.bseindia.com/stock-share-price/shree-cement-ltd/SHREECEM/500387/,10,5787,14.8,12.2,,2021
SHRIRAMFIN,"Shriram Finance Ltd
",https://www.shriramfinance.in/,https://www.nseindia.com/get-quotes/equity?symbol=SHRIRAMFIN,https://www.bseindia.com/stock-share-price/shriram-finance-ltd/SHRIRAMFIN/511218/,2,279,11.3,15.9,,2021
SIEMENS,Siemens Ltd,https://www.siemens.com/in/en.html,https://www.nseindia.com/get-quotes/equity?symbol=SIEMENS,https://www.bseindia.com/stock-share-price/siemens-ltd/SIEMENS/500550/,2,431,25.6,19.1,,2021
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,https://sunpharma.com/,https://www.nseindia.com/get-quotes/equity?symbol=SUNPHARMA,https://www.bseindia.com/stock-share-price/sun-pharmaceuticals-industries-ltd/SUNPHARMA/524715/,1,288,17.3,16.7,,2021
TATACONSUM,Tata Consumer Products Ltd,https://www.tataconsumer.com/,https://www.nseindia.com/get-quotes/equity?symbol=TATACONSUM,https://www.bseindia.com/stock-share-price/tata-consumer-products-ltd/TATACONSUM/500800/,1,193,10.6,8.32,,2021
TATAMOTORS,Tata Motors Ltd,https://www.tatamotors.com/,https://www.nseindia.com/get-quotes/equity?symbol=TATAMOTORS,https://www.bseindia.com/stock-share-price/tata-motors-ltd/TATAMOTORS/500570/,2,275,20.1,49.4,,2021
TATAPOWER,"Tata Power Company Ltd
",https://www.tatapower.com/,https://www.nseindia.com/get-quotes/equity?symbol=TATAPOWER,https://www.bseindia.com/stock-share-price/tata-power-company-ltd/TATAPOWER/500400/,1,105,11.1,11.3,,2021
TATASTEEL,"Tata Steel Ltd
",https://www.tatasteel.com/,https://www.nseindia.com/get-quotes/equity?symbol=TATASTEEL,https://www.bseindia.com/stock-share-price/tata-steel-ltd/TATASTEEL/500470/,1,72,7.02,6.55,,2021
TCS,Tata Consultancy Services Ltd,https://www.tcs.com/,https://www.nseindia.com/get-quotes/equity?symbol=TCS,https://www.bseindia.com/stock-share-price/tata-consultancy-services-ltd/TCS/532540/,1,281,64.3,0.52,,2021
TECHM,Tech Mahindra Ltd,https://www.techmahindra.com/,https://www.nseindia.com/get-quotes/equity?symbol=TECHM,https://www.bseindia.com/stock-share-price/tech-mahindra-ltd/TECHM/532755/,5,270,11.9,8.63,,2021
TITAN,"Titan Company Ltd
",https://www.titancompany.in/,https://www.nseindia.com/get-quotes/equity?symbol=TITAN,https://www.bseindia.com/stock-share-price/titan-company-ltd/TITAN/500114/,1,110,22.7,32.9,,2021
TORNTPHARM,Torrent Pharmaceuticals Ltd,https://www.torrentpharma.com/,https://www.nseindia.com/get-quotes/equity?symbol=TORNTPHARM,https://www.bseindia.com/stock-share-price/torrent-pharmaceuticals-ltd/TORNTPHARM/500420/,5,222,23.2,24.2,,2021
TRENT,Trent Ltd,https://trentlimited.com/,https://www.nseindia.com/get-quotes/equity?symbol=TRENT,https://www.bseindia.com/stock-share-price/trent-ltd/TRENT/500251/,1,132,23.8,27.2,,2021
TVSMOTOR,TVS Motor Company Ltd,,,,,,,,,2021
