company,sector,return_on_equity_pct,debt_to_equity,revenue_cagr_5yr,fcf_cagr_5yr,operating_profit_margin_pct,cluster_id,cluster_name
Company_24,Energy,18.0,0.8,8.0,10.0,15.0,2,Value Cyclicals
Company_25,Consumer,19.0,0.7,9.5,3.0,21.0,0,High-Quality Compounders
Company_26,Technology,20.0,0.5,10.0,4.0,17.0,3,Distressed or Turnaround
Company_27,Finance,21.0,0.6,11.0,5.0,18.0,1,Defensive Dividend Payers
Company_28,Healthcare,22.0,0.7,12.0,6.0,19.0,1,Defensive Dividend Payers
Company_29,Energy,23.0,0.8,13.0,6.0,20.0,4,Emerging Growth
Company_30,Consumer,24.0,0.9,14.0,8.0,21.0,4,Emerging Growth
Company_31,Technology,17.0,0.5,5.0,9.0,21.0,2,Value Cyclicals
Company_32,Finance,11.0,0.6,6.0,10.0,23.0,2,Value Cyclicals
Company_33,Healthcare,12.0,0.7,9.5,3.0,24.0,0,High-Quality Compounders
Company_34,Energy,13.0,0.8,8.0,4.0,25.0,0,High-Quality Compounders
Company_35,Consumer,14.0,0.9,9.0,5.0,26.0,0,High-Quality Compounders
Company_36,Technology,15.0,0.5,10.0,6.0,27.0,0,High-Quality Compounders
Company_37,Finance,16.0,0.7,11.0,7.0,21.0,0,High-Quality Compounders
Company_38,Healthcare,17.0,0.7,12.0,8.0,29.0,4,Emerging Growth
Company_39,Energy,18.0,0.8,13.0,9.0,30.0,4,Emerging Growth
Company_40,Consumer,19.0,0.9,14.0,10.0,31.0,4,Emerging Growth
Company_41,Technology,17.0,0.5,9.5,3.0,12.0,3,Distressed or Turnaround
Company_42,Finance,21.0,0.6,6.0,4.0,13.0,3,Distressed or Turnaround
Company_43,Healthcare,22.0,0.7,7.0,6.0,21.0,1,Defensive Dividend Payers
Company_44,Energy,23.0,0.8,8.0,6.0,15.0,1,Defensive Dividend Payers
Company_45,Consumer,24.0,0.9,9.0,7.0,16.0,1,Defensive Dividend Payers
Company_46,Technology,10.0,0.5,10.0,8.0,17.0,2,Value Cyclicals
Company_47,Finance,11.0,0.6,11.0,9.0,18.0,2,Value Cyclicals
Company_48,Healthcare,12.0,0.7,12.0,10.0,19.0,2,Value Cyclicals
Company_49,Energy,13.0,0.7,9.5,3.0,21.0,0,High-Quality Compounders
Company_50,Consumer,14.0,0.9,14.0,6.0,21.0,4,Emerging Growth
Company_51,Technology,17.0,0.5,5.0,5.0,22.0,3,Distressed or Turnaround
Company_52,Finance,16.0,0.6,6.0,6.0,23.0,3,Distressed or Turnaround
Company_53,Healthcare,17.0,0.7,7.0,7.0,24.0,1,Defensive Dividend Payers
Company_54,Energy,18.0,0.8,8.0,8.0,25.0,1,Defensive Dividend Payers
Company_55,Consumer,19.0,0.9,9.0,9.0,21.0,1,Defensive Dividend Payers
Company_56,Technology,20.0,0.5,10.0,10.0,27.0,2,Value Cyclicals
Company_57,Finance,21.0,0.6,9.5,6.0,28.0,1,Defensive Dividend Payers
Company_58,Healthcare,22.0,0.7,12.0,4.0,29.0,4,Emerging Growth
Company_59,Energy,23.0,0.8,13.0,5.0,30.0,4,Emerging Growth
Company_60,Consumer,24.0,0.9,14.0,6.0,31.0,4,Emerging Growth
Company_61,Technology,17.0,0.7,5.0,7.0,21.0,3,Distressed or Turnaround
Company_62,Finance,11.0,0.6,6.0,8.0,13.0,3,Distressed or Turnaround
Company_63,Healthcare,12.0,0.7,7.0,9.0,14.0,2,Value Cyclicals
Company_64,Energy,13.0,0.8,8.0,6.0,15.0,0,High-Quality Compounders
Company_65,Consumer,14.0,0.9,9.5,3.0,16.0,0,High-Quality Compounders
Company_66,Technology,15.0,0.5,10.0,4.0,17.0,3,Distressed or Turnaround
Company_67,Finance,16.0,0.6,11.0,5.0,21.0,0,High-Quality Compounders
Company_68,Healthcare,17.0,0.7,12.0,6.0,19.0,0,High-Quality Compounders
Company_69,Energy,18.0,0.8,13.0,7.0,20.0,4,Emerging Growth
Company_70,Consumer,19.0,0.9,14.0,8.0,21.0,4,Emerging Growth
Company_71,Technology,17.0,0.5,5.0,6.0,22.0,3,Distressed or Turnaround
Company_72,Finance,21.0,0.6,6.0,10.0,23.0,2,Value Cyclicals
Company_73,Healthcare,22.0,0.7,9.5,3.0,21.0,1,Defensive Dividend Payers
Company_74,Energy,23.0,0.8,8.0,4.0,25.0,1,Defensive Dividend Payers
Company_75,Consumer,24.0,0.9,9.0,5.0,26.0,1,Defensive Dividend Payers
Company_76,Technology,10.0,0.5,10.0,6.0,27.0,0,High-Quality Compounders
Company_77,Finance,11.0,0.6,11.0,7.0,28.0,0,High-Quality Compounders
Company_78,Healthcare,12.0,0.7,12.0,6.0,29.0,0,High-Quality Compounders
Company_79,Energy,13.0,0.8,13.0,9.0,21.0,2,Value Cyclicals
Company_80,Consumer,14.0,0.9,14.0,10.0,31.0,4,Emerging Growth
Company_81,Technology,17.0,0.5,9.5,3.0,12.0,3,Distressed or Turnaround
Company_82,Finance,16.0,0.6,6.0,4.0,13.0,3,Distressed or Turnaround
Company_83,Healthcare,17.0,0.7,7.0,5.0,14.0,3,Distressed or Turnaround
Company_84,Energy,18.0,0.8,8.0,6.0,15.0,1,Defensive Dividend Payers
Company_85,Consumer,19.0,0.7,9.0,6.0,21.0,1,Defensive Dividend Payers
Company_86,Technology,20.0,0.5,10.0,8.0,17.0,2,Value Cyclicals
Company_87,Finance,21.0,0.6,11.0,9.0,18.0,2,Value Cyclicals
Company_88,Healthcare,22.0,0.7,12.0,10.0,19.0,2,Value Cyclicals
Company_89,Energy,23.0,0.8,9.5,3.0,20.0,1,Defensive Dividend Payers
Company_90,Consumer,24.0,0.9,14.0,4.0,21.0,4,Emerging Growth
Company_91,Technology,17.0,0.5,5.0,5.0,21.0,3,Distressed or Turnaround
Company_92,Finance,11.0,0.6,6.0,6.0,23.0,3,Distressed or Turnaround
